Value	BitNum	Word	WordVal	WordHex
1	0	0	1	
0	1	0	2	
1	2	0	5	
1	3	0	11	
0	4	0	22	
1	5	0	45	
1	6	0	91	
1	7	0	183	
1	8	0	367	
0	9	0	734	
0	10	0	1468	
1	11	0	2937	
1	12	0	5875	
1	13	0	11751	
1	14	0	23503	
0	15	0	47006	0xB79E
0	0	1	0	
0	1	1	0	
1	2	1	1	
1	3	1	3	
1	4	1	7	
0	5	1	14	
0	6	1	28	
0	7	1	56	
1	8	1	113	
0	9	1	226	
0	10	1	452	
0	11	1	904	
1	12	1	1809	
1	13	1	3619	
1	14	1	7239	
0	15	1	14478	0x388E
0	0	2	0	
1	1	2	1	
1	2	2	3	
1	3	2	7	
0	4	2	14	
0	5	2	28	
1	6	2	57	
0	7	2	114	
0	8	2	228	
0	9	2	456	
1	10	2	913	
0	11	2	1826	
1	12	2	3653	
1	13	2	7307	
0	14	2	14614	
0	15	2	29228	0x722C
0	0	3	0	
1	1	3	1	
1	2	3	3	
1	3	3	7	
0	4	3	14	
1	5	3	29	
0	6	3	58	
1	7	3	117	
1	8	3	235	
1	9	3	471	
1	10	3	943	
1	11	3	1887	
0	12	3	3774	
1	13	3	7549	
0	14	3	15098	
0	15	3	30196	0x75F4
0	0	4	0	
0	1	4	0	
0	2	4	0	
1	3	4	1	
1	4	4	3	
0	5	4	6	
0	6	4	12	
1	7	4	25	
1	8	4	51	
0	9	4	102	
1	10	4	205	
1	11	4	411	
1	12	4	823	
0	13	4	1646	
1	14	4	3293	
1	15	4	6587	0x19BB
0	0	5	0	
1	1	5	1	
1	2	5	3	
1	3	5	7	
1	4	5	15	
1	5	5	31	
1	6	5	63	
1	7	5	127	
1	8	5	255	
0	9	5	510	
0	10	5	1020	
0	11	5	2040	
1	12	5	4081	
1	13	5	8163	
1	14	5	16327	
1	15	5	32655	0x7F8F
1	0	6	1	
0	1	6	2	
0	2	6	4	
0	3	6	8	
0	4	6	16	
1	5	6	33	
0	6	6	66	
1	7	6	133	
1	8	6	267	
1	9	6	535	
1	10	6	1071	
1	11	6	2143	
1	12	6	4287	
0	13	6	8574	
0	14	6	17148	
1	15	6	34297	0x85F9
1	0	7	1	
0	1	7	2	
1	2	7	5	
1	3	7	11	
0	4	7	22	
0	5	7	44	
0	6	7	88	
1	7	7	177	
0	8	7	354	
1	9	7	709	
0	10	7	1418	
1	11	7	2837	
1	12	7	5675	
0	13	7	11350	
0	14	7	22700	
0	15	7	45400	0xB158
0	0	8	0	
0	1	8	0	
1	2	8	1	
0	3	8	2	
0	4	8	4	
1	5	8	9	
0	6	8	18	
0	7	8	36	
0	8	8	72	
0	9	8	144	
1	10	8	289	
0	11	8	578	
1	12	8	1157	
1	13	8	2315	
1	14	8	4631	
0	15	8	9262	0x242E
0	0	9	0	
0	1	9	0	
1	2	9	1	
0	3	9	2	
0	4	9	4	
1	5	9	9	
0	6	9	18	
0	7	9	36	
0	8	9	72	
0	9	9	144	
0	10	9	288	
0	11	9	576	
0	12	9	1152	
0	13	9	2304	
0	14	9	4608	
0	15	9	9216	0x2400
0	0	10	0	
0	1	10	0	
0	2	10	0	
0	3	10	0	
1	4	10	1	
0	5	10	2	
0	6	10	4	
0	7	10	8	
0	8	10	16	
0	9	10	32	
1	10	10	65	
0	11	10	130	
1	12	10	261	
0	13	10	522	
1	14	10	1045	
0	15	10	2090	0x82A
0	0	11	0	
0	1	11	0	
0	2	11	0	
0	3	11	0	
1	4	11	1	
0	5	11	2	
0	6	11	4	
0	7	11	8	
0	8	11	16	
0	9	11	32	
0	10	11	64	
0	11	11	128	
0	12	11	256	
0	13	11	512	
0	14	11	1024	
0	15	11	2048	0x800
0	0	12	0	
0	1	12	0	
0	2	12	0	
0	3	12	0	
0	4	12	0	
0	5	12	0	
0	6	12	0	
0	7	12	0	
0	8	12	0	
0	9	12	0	
0	10	12	0	
0	11	12	0	
1	12	12	1	
0	13	12	2	
